,num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,x,y,umw
38,38,-74.75,45.25,lat45.25lon-74.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16,1.6647449275,0.9996602146,n
39,39,-69.75,45.25,lat45.25lon-69.75,2.5-degree,geo,26-Mar-16,5-Apr-16,19-Apr-16,2.0528392022,1.0530983781,n
40,40,-64.75,45.25,lat45.25lon-64.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16,2.4368609041,1.1305589224,n
41,41,-97.25,35.25,lat35.25lon-97.25,2.5-degree,geo,25-Mar-16,5-Apr-16,11-Apr-16,-0.2834796307,-0.0302349051,n
42,42,-92.25,35.25,lat35.25lon-92.25,2.5-degree,geo,25-Mar-16,5-Apr-16,11-Apr-16,0.1724057306,-0.0959154796,n
43,43,-87.25,35.25,lat35.25lon-87.25,2.5-degree,geo,26-Mar-16,5-Apr-16,11-Apr-16,0.6314923764,-0.1331290795,n
44,44,-82.25,35.25,lat35.25lon-82.25,2.5-degree,geo,6-May-16,8-May-16,14-May-16,1.0920044766,-0.1417317558,n
45,45,-77.25,35.25,lat35.25lon-77.25,2.5-degree,geo,28-May-16,31-May-16,5-Jun-16,1.5521606868,-0.1216902319,n
46,46,-99.75,37.75,lat37.75lon-99.75,2.5-degree,geo,28-May-16,1-Jun-16,7-Jun-16,-0.4536420409,0.2822783562,n
47,47,-94.75,37.75,lat37.75lon-94.75,2.5-degree,geo,28-May-16,1-Jun-16,7-Jun-16,-0.0168548398,0.2054152704,n
48,48,-89.75,37.75,lat37.75lon-89.75,2.5-degree,geo,29-Apr-16,2-May-16,8-May-16,0.4238657402,0.1558535572,n
49,49,-84.75,37.75,lat37.75lon-84.75,2.5-degree,geo,29-Apr-16,2-May-16,6-May-16,0.866814912,0.1337849303,n
50,50,-79.75,37.75,lat37.75lon-79.75,2.5-degree,geo,29-Apr-16,2-May-16,6-May-16,1.3102792678,0.1392947552,n
51,51,-97.25,40.25,lat40.25lon-97.25,2.5-degree,geo,30-Apr-16,3-May-16,8-May-16,-0.187953382,0.5126088069,n
52,52,-92.25,40.25,lat40.25lon-92.25,2.5-degree,geo,30-Apr-16,4-May-16,11-May-16,0.2340015472,0.4518166769,n
53,53,-87.25,40.25,lat40.25lon-87.25,2.5-degree,geo,30-Apr-16,4-May-16,9-May-16,0.6589194973,0.4173727942,n
54,54,-82.25,40.25,lat40.25lon-82.25,2.5-degree,geo,30-Apr-16,4-May-16,8-May-16,1.0851568085,0.409410394,n
55,55,-77.25,40.25,lat40.25lon-77.25,2.5-degree,geo,30-Apr-16,3-May-16,8-May-16,1.5110647178,0.4279602763,n
56,56,-99.75,42.75,lat42.75lon-99.75,2.5-degree,geo,9-May-16,12-May-16,22-May-16,-0.3407483781,0.8244467682,n
57,57,-94.75,42.75,lat42.75lon-94.75,2.5-degree,geo,9-May-16,12-May-16,24-May-16,0.0621167806,0.7535530717,n
58,58,-89.75,42.75,lat42.75lon-89.75,2.5-degree,geo,9-May-16,11-May-16,22-May-16,0.4686098416,0.7078404515,y
59,59,-84.75,42.75,lat42.75lon-84.75,2.5-degree,geo,10-May-16,12-May-16,23-May-16,0.8771584161,0.6874857322,y
60,60,-74.75,42.75,lat42.75lon-74.75,2.5-degree,geo,10-May-16,12-May-16,23-May-16,1.6940989076,0.7230665458,n
61,61,-97.25,45.25,lat45.25lon-97.25,2.5-degree,geo,9-May-16,13-May-16,26-May-16,-0.0916612223,1.0598049349,n
62,62,-92.25,45.25,lat45.25lon-92.25,2.5-degree,geo,10-May-16,14-May-16,27-May-16,0.2960912272,1.003940444,y
63,63,-77.25,45.25,lat45.25lon-77.25,2.5-degree,geo,10-May-16,14-May-16,27-May-16,1.4696392493,0.9820177761,n
64,64,-72.25,45.25,lat45.25lon-72.25,2.5-degree,geo,10-May-16,14-May-16,26-May-16,1.8592076117,1.0233613905,n
65,65,-67.25,45.25,lat45.25lon-67.25,2.5-degree,geo,10-May-16,14-May-16,26-May-16,2.2454524033,1.0888424136,n
66,66,-99.75,47.75,lat47.75lon-99.75,2.5-degree,geo,10-May-16,19-May-16,30-May-16,-0.2273039475,1.3692602262,n
67,67,-94.75,47.75,lat47.75lon-94.75,2.5-degree,geo,11-May-16,20-May-16,31-May-16,0.1414736753,1.3043650416,y
68,68,-84.75,47.75,lat47.75lon-84.75,2.5-degree,geo,11-May-16,20-May-16,3-Jun-16,0.8875523825,1.2438878425,n
69,69,-79.75,47.75,lat47.75lon-79.75,2.5-degree,geo,11-May-16,20-May-16,29-May-16,1.2619674992,1.2485397648,n
70,70,-74.75,47.75,lat47.75lon-74.75,2.5-degree,geo,11-May-16,19-May-16,29-May-16,1.6353692782,1.276458065,n
71,71,-69.75,47.75,lat47.75lon-69.75,2.5-degree,geo,ERROR,,,2.0063133336,1.3275347502,n
72,72,-98.25,36.75,lat36.75lon-98.25,1.5-degree,geo,18-Jun-16,20-Jun-16,25-Jun-16,-0.3435556869,0.148143891,n
73,73,-96.75,36.75,lat36.75lon-96.75,1.5-degree,geo,18-Jun-16,23-Jun-16,27-Jun-16,-0.2105495975,0.1243115838,n
74,74,-95.25,36.75,lat36.75lon-95.25,1.5-degree,geo,18-Jun-16,23-Jun-16,7-Jul-16,-0.0771219481,0.1029653646,n
75,75,-93.75,36.75,lat36.75lon-93.75,1.5-degree,geo,19-Jun-16,23-Jun-16,29-Jun-16,0.0566807966,0.0841126671,n
76,76,-90.75,36.75,lat36.75lon-90.75,1.5-degree,geo,19-Jun-16,23-Jun-16,27-Jun-16,0.3252250765,0.0539132274,n
77,77,-89.25,36.75,lat36.75lon-89.25,1.5-degree,geo,ERROR,,,0.4598730942,0.0425770018,n
78,78,-87.75,36.75,lat36.75lon-87.75,1.5-degree,geo,28-May-16,1-Jun-16,7-Jun-16,0.594709205,0.0337553274,n
79,79,-86.25,36.75,lat36.75lon-86.25,1.5-degree,geo,28-May-16,1-Jun-16,7-Jun-16,0.7296864535,0.0274512763,n
80,80,-83.25,36.75,lat36.75lon-83.25,1.5-degree,geo,29-May-16,31-May-16,7-Jun-16,0.9998763144,0.0224039477,n
81,81,-81.75,36.75,lat36.75lon-81.75,1.5-degree,geo,29-May-16,31-May-16,5-Jun-16,1.1349948361,0.0236624278,n
82,82,-80.25,36.75,lat36.75lon-80.25,1.5-degree,geo,29-May-16,30-May-16,5-Jun-16,1.2700663475,0.0274420459,n
83,83,-78.75,36.75,lat36.75lon-78.75,1.5-degree,geo,28-May-16,30-May-16,5-Jun-16,1.4050438113,0.0337414858,n
84,84,-98.25,38.25,lat38.25lon-98.25,1.5-degree,geo,28-May-16,1-Jun-16,9-Jun-16,-0.3128848703,0.3105705006,n
85,85,-96.75,38.25,lat38.25lon-96.75,1.5-degree,geo,29-May-16,2-Jun-16,9-Jun-16,-0.1829150565,0.2872822396,n
86,86,-95.25,38.25,lat38.25lon-95.25,1.5-degree,geo,7-Jun-16,11-Jun-16,17-Jun-16,-0.0525333061,0.2664233139,n
87,87,-93.75,38.25,lat38.25lon-93.75,1.5-degree,geo,7-Jun-16,11-Jun-16,18-Jun-16,0.0782149768,0.2480009876,n
88,88,-90.75,38.25,lat38.25lon-90.75,1.5-degree,geo,7-Jun-16,11-Jun-16,16-Jun-16,0.3406289024,0.2184909436,n
89,89,-89.25,38.25,lat38.25lon-89.25,1.5-degree,geo,7-Jun-16,12-Jun-16,17-Jun-16,0.4722031625,0.2074135024,n
90,90,-87.75,38.25,lat38.25lon-87.75,1.5-degree,geo,7-Jun-16,9-Jun-16,16-Jun-16,0.6039612217,0.19879321,n
91,91,-86.25,38.25,lat38.25lon-86.25,1.5-degree,geo,7-Jun-16,9-Jun-16,16-Jun-16,0.7358571968,0.1926330684,n
