"lon","lat","latlon","umw","x","y","domain.paleon","pc.all1","pc.all2","pc.setveg1","pc.setveg2","pc.setveg.mod1","pc.setveg.mod2","pc.umw1","pc.umw2","pc.umw.mod1","pc.umw.mod2"
-99.25,37.25,"lat37.25lon-99.25",NA,NA,NA,NA,-1.97120597759358,-2.48046856336298,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,37.75,"lat37.75lon-99.25",NA,NA,NA,NA,-1.920037251867,-2.41130336700723,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,38.25,"lat38.25lon-99.25",NA,NA,NA,NA,-1.54905988330006,-2.32854211408993,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,38.75,"lat38.75lon-99.25",NA,NA,NA,NA,-1.46672156426787,-2.22266869998086,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,39.25,"lat39.25lon-99.25",NA,NA,NA,NA,-1.68478578141155,-2.22294927636489,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,39.75,"lat39.75lon-99.25",NA,NA,NA,NA,-0.948089942230581,-1.4785609979814,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,40.25,"lat40.25lon-99.25",NA,NA,NA,NA,-0.616278947499794,-1.50684072744482,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,40.75,"lat40.75lon-99.25",NA,NA,NA,NA,-0.502199042293887,-1.60996690319324,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,41.25,"lat41.25lon-99.25",NA,NA,NA,NA,-0.138239628713984,-1.59538272012974,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,41.75,"lat41.75lon-99.25",NA,NA,NA,NA,-0.452012206102352,-1.84134512010914,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,42.25,"lat42.25lon-99.25",NA,NA,NA,NA,0.329945597477878,-1.87911710118307,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,42.75,"lat42.75lon-99.25",NA,NA,NA,NA,0.347216115199551,-2.2407507500297,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,43.25,"lat43.25lon-99.25",NA,NA,NA,NA,-0.654812684294563,-2.88369554345603,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,43.75,"lat43.75lon-99.25",NA,NA,NA,NA,-0.14016504866429,-2.83391085907674,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,44.25,"lat44.25lon-99.25",NA,NA,NA,NA,-0.643389289082301,-3.00370069260461,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,44.75,"lat44.75lon-99.25",NA,NA,NA,NA,-0.389817395709617,-2.92251666741962,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,45.25,"lat45.25lon-99.25",NA,NA,NA,NA,-0.18220829113327,-2.9942191155046,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,45.75,"lat45.75lon-99.25",NA,NA,NA,NA,0.0547494302284307,-3.10052696651471,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,46.25,"lat46.25lon-99.25",NA,NA,NA,NA,0.24253477334161,-3.35471761905053,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,46.75,"lat46.75lon-99.25",NA,NA,NA,NA,0.375722758306296,-3.30446904768262,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,47.25,"lat47.25lon-99.25",NA,NA,NA,NA,0.469682091560844,-3.14782600563126,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,47.75,"lat47.75lon-99.25",NA,NA,NA,NA,0.786854113227607,-2.95119758571595,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,48.25,"lat48.25lon-99.25",NA,NA,NA,NA,0.790635449948219,-2.95546297278477,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,48.75,"lat48.75lon-99.25",NA,NA,NA,NA,0.630268291343528,-2.88251681962325,NA,NA,NA,NA,NA,NA,NA,NA
